Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.546028411,5.113129298,6.20786096,4.887300542,3.943750374,-0.362303213,4.577002439,5.079980803,-0.210653479,5.356699838,1.73148542,-0.144294507,2.011254375,2.97308801,0.051275236,2.498678504,2.301392772,1.357168012,3.295880224,3.887074779,4.345641539,3.441627414,2.093524731,0.52680946,2.402118767,2.667983664,2.466643934,2.308910875,3.785542748,3.539127804,3.667588836,0.857402601,1.693729863,0.865919445,2.589579854,2.400672359,3.669790293,3.705948764,1.436259096,-3.82189437,1.769168996,2.834374766,0.870499679,0.318839075,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-22.6,-23.1,-19.7,-11.8,1.3,5.8,10,7.4,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.049,10.77242069,9.410653522,4.854339505,0.065922707,2.2,5.79667853,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-13.74613506,9.063157933,4.135407415,6.273037921,3.96722561,4.612992882,13.8215186,-0.297883668,-1.459541142,21.32567072,2.746828712,-6.403964923,6.889050724,-0.726839563,0.697920233,7.942660978,11.46945305,-0.940575994,1.66495495,0.991055731,12.16327556,-1.053599817,3.715326989,0.15554401,11.78318018,3.250180461,5.503096116,5.031024363,1.349502233,3.499822139,4.996836457,1.009998365,-6.24,-3.83,-7.92,-8,-1.59,4.75,-1.01,-0.856864057,2.055807106,4.446519421,-1.223727958,4.833657761,0.9,5.384657398,4.785831951,5.048118782,3.468425427,3.785902542,4.191625678,4.019365532,4.470824619,
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.957294895,3.75302137,5.25564666,6.12232757,4.19963425,-1.327000265,5.652750967,0.626135478,2.841912664,2.341058001,4.479501221,-0.279283619,0.594986945,0.311842729,2.466382659,1.651792843,1.822762128,2.306659429,4.7232089,3.469166813,3.137402455,1.833074297,1.53065481,-0.961873091,3.226971469,2.384757222,1.424413204,3.73515224,1.928963187,3.539994361,3.669619423,0.807633274,1.359653667,0.806831275,3.27431154,1.751108202,2.666541916,2.883213342,0.98516304,-2.800566856,2.337832274,1.754240931,-0.143801895,0.196622433,
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.141280442,-3.426409805,4.730027938,6.650759127,5.293862825,3.575862755,1.078398678,3.842335612,2.877497991,2.097757581,-1.496841845,6.426367548,3.706165308,3.339312175,-4.895345432,0.884356313,4.983663734,1.255078016,6.535747414,6.781763875,9.954231179,2.235066324,-4.34782272,7.92983957,7.530324837,2.171141589,-1.500002935,3.405245278,-2.854160484,8.976134355,4.225799424,2.957710813,5.836172102,2.020400445,6.045198644,4.324284034,5.734688365,3.961012146,5.341449371,4.86166756,6.248410555,4.421114337,3.882508341,3.119857108,2.865236818,3.752154475,4.62639647,5.018430261,2.666515398,2.552817841,3.530698244,5.399973877,5.600002481,
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.043927975,6.128798784,-1.268016366,2.282819232,3.764545368,0.537613084,8.823314987,3.070773927,2.026081041,0.117019619,1.413339875,2.311498733,0.449327408,8.286426487,2.998382892,8.534894964,0.370353562,4.607825009,3.664621514,0.796878866,4.255303401,9.562196614,0.345984738,-1.77869668,8.517364998,7.955362723,-0.236336791,5.795592967,2.150267271,-0.60292848,9.069984461,0.232710762,3.461384933,1.315007275,5.71637387,11.01474387,6.316834731,7.307719635,7.404178965,1.847021335,6.58537435,5.143785179,7.802493891,4.478452136,8.661873228,6.767809454,3.606206563,5.800005065,2.965439145,7.939698739,4.210077721,9.537420114,6.529291389,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.058160818,5.453030984,-0.455894298,10.95278855,1.606258229,2.566812,-1.875863927,9.489454022,1.220857907,5.619852302,-5.479483036,-13.97372869,3.32568019,9.591956304,-4.088214092,5.661361201,2.673056044,7.073837739,4.801634599,0.819141865,3.801998047,2.376466818,4.016088042,5.180672299,3.223280624,4.248570449,3.73226373,2.159202308,2.612351812,5.941307144,3.339355537,5.039133121,4.57437555,4.084703532,4.92505218,4.621967972,5.387551729,5.227531388,4.869230207,5.94450677,5.274014114,4.415410923,5.255994272,6.2705029,5.955478473,6.629337175,6.427842521,6.190431553,5.741158626,6.069339864,6.708097255,6.233705051,6.030242521,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,4.900161619,2.334565588,3.430306207,3.396443551,2.683440659,4.207602111,6.054513852,10.94469186,-3.289881992,-9.117377193,-8.445355216,-7.272387858,-1.480214784,1.81801096,2.860189461,-9.030054663,-1.645530387,4.861361965,1.964141473,5.7,4.2,4.7,5.5,6.7,6.4,6.5,6.4,6.2,-5.5,0.4,1.8,0.601010623,0.898654169,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,-5.316696284,-7.556217507,6.376377312,5.003644224,-4.758267151,1.18299553,10.39900691,6.999993825,0.364005338,4.43799733,11.22999972,6.689996479,12.87000742,-0.250001,3.929992241,4.110005383,3.09299925,4.790002365,4.3000008,5.29999345,2.491034415,3.614147361,6.023952475,6.980946175,6.768939129,6.467045538,8.293992663,6.236542559,2.545628797,4.336764484,2.100022917,3.399557843,5.49,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.66709879,10.45197086,10.52405825,10.50156613,10.42559636,9.071928067,9.598116159,8.42176423,8.981661051,-5.649649859,1.62650988,-3.497336204,7.567567568,-16.75422933,-14.80312426,5.185185185,9.154929577,14.17951865,26.13929595,6.495280366,-9.226405267,6.698898545,3.59705136,14.17115069,4.829180077,1.796999968,2.984518884,2.309708309,6.727328385,-1.596249254,-4.181783464,-3.825582741,0.307806453,3.148916321,4.378750977,4.223530213,2.062240199,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,0.987986326,1.659385056,1.832171744,,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000117,88.95766405,34.38957514,15.59999615,9.6,5.5,4.4,5.3,4,6.1,5,6.2,6.838,5.42,-2.91,0.699999999,1.299999976,-0.700000037,0.364933545,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-9.6,-7.6,-11.7,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.440903631,9.997986694,8.647315659,10.24824592,0.163535159,7.740781216,5.543711461,1.731391223,0.894547993,
